序号,名字,英文名,房间描述,所属楼层,是否可行,附加类型：0时间，1物品，2预兆,进行考验的条件：0在房间，开始行动前，1进入房间，2通过房间，3离开房间，4停留在房间结束，5无,考验ID
id,name,enlishName,desc,layer,canPassArray,type,mrtType,examID
1,荒废的房间,Abandoned Room,叉叉叉,0|1,1|1|1|1,0,2,0
2,上台阶,Upper Landing,上入口,2,1|1|1|1,1,1,1
3,下台阶,Basement Landing,下入口,0,1|1|1|1,2,3,2
4,煤导槽,Coal Chute,叉叉叉,1,1|1|1|1,2,2,2
5,地下楼梯,Stairs from Basement,叉叉叉,0,1|1|1|1,0,4,1
6,升降梯,Mystic Elevator,叉叉叉,0|1|2,1|1|1|1,1,3,0
7,阁楼,Attic,叉叉叉,2,1|1|1|1,0,4,1
8,墓园,Graveyard,叉叉叉,1,1|1|1|1,1,5,0
9,楼座,Gallery,叉叉叉,2,1|1|1|1,2,3,2
10,陵墓,Catacombs,叉叉叉,0,1|1|1|1,2,2,0
11,裂缝,Chasm,叉叉叉,0,1|1|1|1,0,4,1
12,塔楼,Tower,叉叉叉,2,1|1|1|1,1,1,2
13,地窖,Crypt ,叉叉叉,0,1|1|1|1,0,2,2
14,暖炉房,Furnace Room ,叉叉叉,0,1|1|1|1,1,4,1
15,保险库,Vault ,叉叉叉,0|2,1|1|1|1,2,4,0
16,地下湖,Underground Lake,叉叉叉,2,1|1|1|1,2,1,1
17,礼拜堂,Chapel ,叉叉叉,1|2,1|1|1|1,0,1,0
18,建身房,Gymnasium,叉叉叉,0|2,1|1|1|1,1,5,2
19,食品储藏库,Larder,叉叉叉,0,1|1|1|1,1,3,2
20,图书室,Library ,叉叉叉,0|2,1|1|1|1,2,5,1
